StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);CER received(P);CER received(C);CER sent(P);CER sent(C);CEA received(P);CEA received(C);CEA sent(P);CEA sent(C);UAR received(P);UAR received(C);UAR sent(P);UAR sent(C);UAA received(P);UAA received(C);UAA sent(P);UAA sent(C);SAR received(P);SAR received(C);SAR sent(P);SAR sent(C);SAA received(P);SAA received(C);SAA sent(P);SAA sent(C);LIR received(P);LIR received(C);LIR sent(P);LIR sent(C);LIA received(P);LIA received(C);LIA sent(P);LIA sent(C);MAR received(P);MAR received(C);MAR sent(P);MAR sent(C);MAA received(P);MAA received(C);MAA sent(P);MAA sent(C);RTR received(P);RTR received(C);RTR sent(P);RTR sent(C);RTA received(P);RTA received(C);RTA sent(P);RTA sent(C);PPR received(P);PPR received(C);PPR sent(P);PPR sent(C);PPA received(P);PPA received(C);PPA sent(P);PPA sent(C);User-Name received(P);User-Name received(C);User-Name sent(P);User-Name sent(C);Host-IP-Address received(P);Host-IP-Address received(C);Host-IP-Address sent(P);Host-IP-Address sent(C);Auth-Application-Id received(P);Auth-Application-Id received(C);Auth-Application-Id sent(P);Auth-Application-Id sent(C);Acct-Application-Id received(P);Acct-Application-Id received(C);Acct-Application-Id sent(P);Acct-Application-Id sent(C);Vendor-Specific-Application-Id received(P);Vendor-Specific-Application-Id received(C);Vendor-Specific-Application-Id sent(P);Vendor-Specific-Application-Id sent(C);Session-Id received(P);Session-Id received(C);Session-Id sent(P);Session-Id sent(C);Origin-Host received(P);Origin-Host received(C);Origin-Host sent(P);Origin-Host sent(C);Supported-Vendor-Id received(P);Supported-Vendor-Id received(C);Supported-Vendor-Id sent(P);Supported-Vendor-Id sent(C);Vendor-Id received(P);Vendor-Id received(C);Vendor-Id sent(P);Vendor-Id sent(C);Firmware-Revision received(P);Firmware-Revision received(C);Firmware-Revision sent(P);Firmware-Revision sent(C);Result-Code received(P);Result-Code received(C);Result-Code sent(P);Result-Code sent(C);Product-Name received(P);Product-Name received(C);Product-Name sent(P);Product-Name sent(C);Auth-Session-State received(P);Auth-Session-State received(C);Auth-Session-State sent(P);Auth-Session-State sent(C);Origin-State-Id received(P);Origin-State-Id received(C);Origin-State-Id sent(P);Origin-State-Id sent(C);Destination-Realm received(P);Destination-Realm received(C);Destination-Realm sent(P);Destination-Realm sent(C);Destination-Host received(P);Destination-Host received(C);Destination-Host sent(P);Destination-Host sent(C);Origin-Realm received(P);Origin-Realm received(C);Origin-Realm sent(P);Origin-Realm sent(C);Experimental-Result received(P);Experimental-Result received(C);Experimental-Result sent(P);Experimental-Result sent(C);Experimental-Result-Code received(P);Experimental-Result-Code received(C);Experimental-Result-Code sent(P);Experimental-Result-Code sent(C);Visited-Network-Identifier received(P);Visited-Network-Identifier received(C);Visited-Network-Identifier sent(P);Visited-Network-Identifier sent(C);Public-Identity received(P);Public-Identity received(C);Public-Identity sent(P);Public-Identity sent(C);Server-Name received(P);Server-Name received(C);Server-Name sent(P);Server-Name sent(C);Server-Assignment-Type received(P);Server-Assignment-Type received(C);Server-Assignment-Type sent(P);Server-Assignment-Type sent(C);User-Authorization-Type received(P);User-Authorization-Type received(C);User-Authorization-Type sent(P);User-Authorization-Type sent(C);User-Data-Request-Type received(P);User-Data-Request-Type received(C);User-Data-Request-Type sent(P);User-Data-Request-Type sent(C);User-Data-Already-Available received(P);User-Data-Already-Available received(C);User-Data-Already-Available sent(P);User-Data-Already-Available sent(C);
2013-10-11 15:31:12;2013-10-11 15:31:12;2013-10-11 15:31:12;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2013-10-11 15:31:12;2013-10-11 15:31:12;2013-10-11 15:31:17;00:00:05;00:00:05;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;7;7;0;0;7;7;0;0;6;6;5;5;5;5;6;6;6;6;0;0;1;1;1;1;7;7;0;0;1;1;6;6;0;0;1;1;1;1;0;0;5;5;0;0;1;1;0;0;5;5;0;0;5;5;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;5;5;0;0;5;5;0;0;0;0;0;0;5;5;0;0;0;0;
2013-10-11 15:31:12;2013-10-11 15:31:17;2013-10-11 15:31:22;00:00:05;00:00:10;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;10;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;5;12;0;0;5;12;0;0;5;11;5;10;5;10;5;11;5;11;0;0;0;1;0;1;5;12;0;0;0;1;5;11;0;0;0;1;0;1;0;0;5;10;0;0;0;1;0;0;5;10;0;0;5;10;5;11;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;10;0;0;5;10;0;0;5;10;0;0;0;0;0;0;5;10;0;0;0;0;
2013-10-11 15:31:12;2013-10-11 15:31:22;2013-10-11 15:31:27;00:00:05;00:00:15;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;15;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;5;17;0;0;5;17;0;0;5;16;5;15;5;15;5;16;5;16;0;0;0;1;0;1;5;17;0;0;0;1;5;16;0;0;0;1;0;1;0;0;5;15;0;0;0;1;0;0;5;15;0;0;5;15;5;16;5;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;15;0;0;5;15;0;0;5;15;0;0;0;0;0;0;5;15;0;0;0;0;
2013-10-11 15:31:12;2013-10-11 15:31:27;2013-10-11 15:31:32;00:00:05;00:00:20;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;20;5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;5;22;0;0;5;22;0;0;5;21;5;20;5;20;5;21;5;21;0;0;0;1;0;1;5;22;0;0;0;1;5;21;0;0;0;1;0;1;0;0;5;20;0;0;0;1;0;0;5;20;0;0;5;20;5;21;5;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;20;0;0;5;20;0;0;5;20;0;0;0;0;0;0;5;20;0;0;0;0;
2013-10-11 15:31:12;2013-10-11 15:31:32;2013-10-11 15:31:37;00:00:05;00:00:25;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;25;5;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;5;27;0;0;5;27;0;0;5;26;5;25;5;25;5;26;5;26;0;0;0;1;0;1;5;27;0;0;0;1;5;26;0;0;0;1;0;1;0;0;5;25;0;0;0;1;0;0;5;25;0;0;5;25;5;26;5;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;25;0;0;5;25;0;0;5;25;0;0;0;0;0;0;5;25;0;0;0;0;
2013-10-11 15:31:12;2013-10-11 15:31:37;2013-10-11 15:31:42;00:00:05;00:00:30;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;30;5;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;5;32;0;0;5;32;0;0;5;31;5;30;5;30;5;31;5;31;0;0;0;1;0;1;5;32;0;0;0;1;5;31;0;0;0;1;0;1;0;0;5;30;0;0;0;1;0;0;5;30;0;0;5;30;5;31;5;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;30;0;0;5;30;0;0;5;30;0;0;0;0;0;0;5;30;0;0;0;0;
2013-10-11 15:31:12;2013-10-11 15:31:42;2013-10-11 15:31:47;00:00:05;00:00:35;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;35;5;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;5;37;0;0;5;37;0;0;5;36;5;35;5;35;5;36;5;36;0;0;0;1;0;1;5;37;0;0;0;1;5;36;0;0;0;1;0;1;0;0;5;35;0;0;0;1;0;0;5;35;0;0;5;35;5;36;5;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;35;0;0;5;35;0;0;5;35;0;0;0;0;0;0;5;35;0;0;0;0;
2013-10-11 15:31:12;2013-10-11 15:31:47;2013-10-11 15:31:52;00:00:05;00:00:40;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;40;5;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;5;42;0;0;5;42;0;0;5;41;5;40;5;40;5;41;5;41;0;0;0;1;0;1;5;42;0;0;0;1;5;41;0;0;0;1;0;1;0;0;5;40;0;0;0;1;0;0;5;40;0;0;5;40;5;41;5;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;40;0;0;5;40;0;0;5;40;0;0;0;0;0;0;5;40;0;0;0;0;
2013-10-11 15:31:12;2013-10-11 15:31:52;2013-10-11 15:31:57;00:00:05;00:00:45;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;45;5;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;5;47;0;0;5;47;0;0;5;46;5;45;5;45;5;46;5;46;0;0;0;1;0;1;5;47;0;0;0;1;5;46;0;0;0;1;0;1;0;0;5;45;0;0;0;1;0;0;5;45;0;0;5;45;5;46;5;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;45;0;0;5;45;0;0;5;45;0;0;0;0;0;0;5;45;0;0;0;0;
