StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2013-10-11 16:25:06;2013-10-11 16:25:06;2013-10-11 16:25:06;00:00:00;00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:07;2013-10-11 16:25:07;00:00:01;00:00:01;9840.32;9821.71;0;0;9860;9861;0.998004;0.996016;9840.32;9821.71;0;0;9860;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:08;2013-10-11 16:25:08;00:00:01;00:00:02;10050;9935.63;0;0;10050;19911;0;0.499002;9848;9834.83;0;0;19910;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:09;2013-10-11 16:25:09;00:00:01;00:00:03;10090;9987.02;0;0;10090;30001;0;0.332889;9863;9844.21;0;0;30000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:10;2013-10-11 16:25:10;00:00:01;00:00:04;9790;9937.81;0;0;9790;39791;0;0.24975;10213;9937.81;0;0;39790;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:11;2013-10-11 16:25:11;00:00:01;00:00:05;9706;9889.51;0;0;9706;49497;0;0.1998;9591;9866.53;0;0;49494;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:12;2013-10-11 16:25:12;00:00:01;00:00:06;308;8326.56;0;0;308;50001;0;0.166528;619;8326.56;0;0;50000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:13;2013-10-11 16:25:13;00:00:01;00:00:07;0;7137.9;0;0;0;50001;0;0.142755;0;7137.9;0;0;50000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:14;2013-10-11 16:25:14;00:00:01;00:00:08;0;6246.22;0;0;0;50001;0;0.124922;0;6246.22;0;0;50000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:15;2013-10-11 16:25:15;00:00:01;00:00:09;0;5552.58;0;0;0;50001;0;0.111049;0;5552.58;0;0;50000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:16;2013-10-11 16:25:16;00:00:01;00:00:10;0;4997.6;0;0;0;50001;0;0.09995;0;4997.6;0;0;50000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:17;2013-10-11 16:25:17;00:00:01;00:00:11;0;4543.07;0;0;0;50001;0;0.0908595;0;4543.07;0;0;40162;0;1;0;0;0;0;0;0;9838;9838;0;0;0;0;9838;9838;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2013-10-11 16:25:06;2013-10-11 16:25:17;2013-10-11 16:25:18;00:00:00;00:00:11;0;4302.27;0;0;0;50001;0;0.0860437;0;4302.27;0;0;34500;0;1;0;0;0;0;0;0;5662;15500;0;0;0;0;5662;15500;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
