2013-10-11.16:43:31.927|A|START log
2013-10-11.16:43:31.927|A|Platform use LITTLE_ENDIAN coding
2013-10-11.16:43:31.927|A|Integer32 Type size is: 8
2013-10-11.16:43:31.928|A|Integer64 Type size is: 8
2013-10-11.16:43:31.928|A|Configuration data:
                       | |option_log_file  [../logs/rar-raa.client.log]
                       | |option_conf_file [../config/conf.client.xml]
                       | |option_dico_file [../config/base_rf.xml]
                       | |option_scen_file [../scenario/rar-raa.client.xml]
                       | |log_stat_file    [../logs/client-stat.csv]
                       | |option_log_level [ET]
                       | |option_bg_mode   [false]
                       | |call_rate        [9000]
                       | |burst_limit      [0]
                       | |max_send         [200000]
                       | |max_receive      [20000]
                       | |select_timeout   [50]
                       | |max_simult_calls [3000]
                       | |call_timeout_ms  [10000]
                       | |msg_buffer_size  [4096]
                       | |display_period   [1]
                       | |log_stat_period  [1]
                       | |resp_time_repart [50,75,100,150,300,5000]
                       | |number_calls     [0]
                       | |notimelog        [false]
                       | |msg check        [false]
                       | |msg check mask   [P]
                       | |check behaviour  [warning]
                       | |call rate scale  [1]
                       | |model traffic    [best-effort]
                       | |external data file    [none]
                       | |external data select  [sequential]
2013-10-11.16:43:31.930|A|PID [30973]
2013-10-11.16:43:31.931|E|Unrecognized buffer header
2013-10-11.16:43:31.931|E|Unrecognized message received
2013-10-11.16:43:31.931|A|*** Unrecognized message received ***
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.020|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
2013-10-11.16:43:42.021|T|Call timeout detected
